ID,W,G,H,1B,2B,3B,HR,BB,SO,SB,BA,SLG,OPS,OBA
909,77,162,1477,1021,309,39,108,571,1085,130,0.26375,0.390714286,0.725483026,0.33476874
911,72,162,1325,906,277,35,107,489,1308,108,0.244419849,0.367644346,0.676261581,0.308617234
913,86,162,1327,900,282,24,121,448,1122,85,0.241888443,0.368209989,0.671245318,0.303035329
915,69,162,1434,957,273,13,191,452,1120,81,0.256759176,0.412891674,0.728938641,0.316046967
917,79,162,1387,965,252,16,154,475,989,81,0.252090149,0.387677208,0.706327937,0.318650729
919,95,162,1540,1040,297,34,169,521,1143,49,0.276829049,0.433579004,0.773329854,0.339750849
921,86,162,1394,916,289,34,155,442,1086,135,0.252856884,0.401959006,0.714479708,0.312520702
923,97,162,1452,930,267,33,222,627,1138,147,0.263138818,0.444182675,0.787563855,0.34338118
925,67,162,1263,879,253,22,109,435,1280,125,0.232982844,0.348090758,0.640473636,0.292382878
927,96,162,1599,1047,310,32,210,475,930,143,0.282558756,0.459975261,0.799576675,0.339601414
929,81,162,1416,911,307,33,165,539,1266,93,0.259245698,0.418161845,0.746073789,0.327911943
931,61,162,1297,859,265,36,137,447,1235,94,0.239696914,0.377933838,0.679537214,0.301603376
933,64,162,1526,1002,306,52,166,450,1213,100,0.273623812,0.43643536,0.766163318,0.329727958
935,86,162,1369,961,269,23,116,481,1156,104,0.251746966,0.373666789,0.690192001,0.316525212
937,83,162,1442,901,300,39,202,466,1240,158,0.259492532,0.436566493,0.761550227,0.324983735
939,81,162,1414,957,271,28,158,454,1094,116,0.255050505,0.399531025,0.716088402,0.316557377
941,76,162,1339,903,272,43,121,539,1238,155,0.246956842,0.379933604,0.699325239,0.319391635
943,88,162,1526,1040,290,37,159,533,1192,91,0.271433654,0.421024546,0.758566499,0.337541953
945,93,162,1375,875,270,16,214,480,1315,58,0.247302158,0.417086331,0.728360841,0.31127451
947,85,162,1409,941,228,29,211,461,1203,109,0.25534614,0.42189199,0.740148569,0.318256579
949,88,162,1467,986,279,39,163,511,1103,59,0.267896275,0.422388605,0.756927484,0.334538879
951,89,162,1518,1036,273,22,187,449,1113,134,0.274205202,0.432803468,0.764435281,0.331631813
953,95,162,1462,924,280,13,245,565,1176,93,0.264663287,0.453113686,0.79004917,0.336935484
955,75,162,1285,868,241,27,149,466,1259,104,0.233891518,0.368947943,0.664549603,0.29560166
